year,country,gdp_per_capita,social_support,health,freedom,trust,generosity,happiness_score_next_year
2017,Finland,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.38261154294014,0.24548277258873,7.632
2015,France,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,6.478
2016,France,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,6.44199991226196
2017,France,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.172502428293228,0.129762306809425,6.489
2015,Gabon,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,4.121
2016,Gabon,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,4.46500015258789
2017,Gabon,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0760467872023582,0.0437853783369064,4.758
2015,Georgia,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,4.252
2016,Georgia,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,4.28599977493286
2017,Georgia,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.251666635274887,0.0540088154375553,4.34
2015,Germany,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,6.994
2016,Germany,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,6.95100021362305
2017,Germany,1.48792338371277,1.4725203514099101,0.798950731754303,0.562511384487152,0.276731938123703,0.336269170045853,6.965
2015,Ghana,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,4.276
2016,Ghana,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,4.11999988555908
2017,Ghana,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.0253363698720932,0.256923943758011,4.657
2015,Greece,1.15406,0.92933,0.88213,0.07699,0.01397,0,5.033
2016,Greece,1.24886,0.75473,0.80029,0.05822,0.04127,0,5.22700023651123
2017,Greece,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.04328977689147,0,5.358
2015,Guatemala,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,6.324
2016,Guatemala,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,6.4539999961853
2017,Guatemala,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.0772232785820961,0.283488392829895,6.382
2015,Guinea,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,3.607
2016,Guinea,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,3.50699996948242
2017,Guinea,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.110937617719173,0.264815092086792,3.964
2015,Haiti,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,4.028
2016,Haiti,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,3.6029999256134
2017,Haiti,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.0998721495270729,0.489203780889511,3.582
2015,Honduras,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,4.871
2016,Honduras,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,5.18100023269653
2017,Honduras,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.0733454525470734,0.236188873648643,5.504
2015,Hong Kong,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,5.458
2016,Hong Kong,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,5.43
2015,Hungary,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,5.145
2016,Hungary,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,5.32399988174438
2017,Hungary,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,5.62
2015,Iceland,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,7.501
2016,Iceland,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,7.50400018692017
2017,Iceland,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.153526559472084,0.475540220737457,7.495
2015,India,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,4.404
2016,India,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,4.31500005722046
2017,India,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.0922268852591515,0.231538489460945,4.19
2015,Indonesia,0.82827,1.08708,0.63793,0.46611,0,0.51535,5.314
2016,Indonesia,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,5.26200008392334
2017,Indonesia,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.0153171354904771,0.611704587936401,5.093
2015,Iran,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,4.813
2016,Iran,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,4.69199991226196
2017,Iran,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.048761073499918,0.387242913246155,4.707
2015,Iraq,0.98549,0.81889,0.60237,0,0.13788,0.17922,4.575
2016,Iraq,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,4.49700021743774
2017,Iraq,1.10271048545837,0.978613197803497,0.50118046998977706,0.288555532693863,0.107215754687786,0.19963726401329,4.456
2015,Ireland,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,6.907
2016,Ireland,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,6.97700023651123
2017,Ireland,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.29838815331459,0.42785832285881,6.977
2015,Israel,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,7.267
2016,Israel,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,7.21299982070923
2017,Israel,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,6.814
2015,Italy,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,5.977
2016,Italy,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,5.96400022506714
2017,Italy,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.0280280914157629,0.17278964817524,6
2015,Ivory Coast,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,3.916
2016,Ivory Coast,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,4.17999982833862
2017,Ivory Coast,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,0.130061775445938,0.201237469911575,4.671
2015,Jamaica,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,5.51
2016,Jamaica,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,5.31099987030029
2017,Jamaica,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.0552677810192108,0.233818337321281,5.89
2015,Japan,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,5.921
2016,Japan,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,5.92000007629395
2017,Japan,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,5.915
2015,Jordan,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,5.303
2016,Jordan,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,5.33599996566772
2017,Jordan,0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,0.11980327218771,0.172170460224152,5.161
2015,Kazakhstan,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,5.919
2016,Kazakhstan,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,5.81899976730347
2017,Kazakhstan,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.119282886385918,0.201964423060417,5.79
2015,Kenya,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,4.356
2016,Kenya,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,4.55299997329712
2017,Kenya,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.0646413192152977,0.444860309362411,4.41
2015,Kosovo,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,5.401
2016,Kosovo,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,5.27899980545044
2017,Kosovo,0.951484382152557,1.13785350322723,0.541452050209045,0.260287940502167,0.0574716180562973,0.319931447505951,5.662
2015,Kuwait,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,6.239
2016,Kuwait,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,6.10500001907349
2017,Kuwait,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.215159550309181,0.228289797902107,6.083
2015,Kyrgyzstan,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,5.185
2016,Kyrgyzstan,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,5.00400018692017
2017,Kyrgyzstan,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,0.0394391790032387,0.42858037352562,5.131
2015,Laos,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,4.876
2016,Laos,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,4.623
2015,Latvia,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,5.56
2016,Latvia,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,5.84999990463257
